transaction_id,user_id,merchant_category,amount,timestamp,days_employed,is_disputed,feature_0,feature_1,feature_2,feature_3,feature_4,label
235,144,clothing,23.65,1702560390,-2057,0,0.9379,0.0108,0.3246,-0.5696,1.1991,0
236,37,online_retail,58.7,1701273871,-2324,1,-0.434,0.473,-0.3506,-0.25,0.2158,1
237,23,restaurant,143.72,1701035702,-365243,0,-2.0536,0.4239,-0.7117,-0.2315,-0.6559,0
238,68,grocery,60.34,1701885005,-365243,0,0.8308,-0.7922,-0.2946,-0.6493,-0.7419,0
239,115,restaurant,26.39,1700978536,-2639,0,-0.7304,-1.2427,-0.5632,0.1927,-0.9114,0
240,97,electronics,252.11,1701050595,-3288,0,0.1257,0.5298,-0.138,-1.1905,-1.7592,0
241,197,pharmacy,49.45,1700605743,-2481,0,0.8094,1.5432,1.4099,0.3013,0.3101,0
242,138,fuel,78.42,1700740599,-2617,0,-0.2183,-0.2357,-0.7278,-0.8463,-1.8722,0
243,143,pharmacy,195.05,1702246928,-6800,0,0.6999,0.5507,-0.3791,1.2565,2.2341,0
244,96,clothing,179.2,1701197678,-356,0,-1.4888,0.567,-0.0214,1.6102,-0.5198,0
245,123,clothing,101.6,1702486179,-6987,0,1.0621,0.6888,1.1529,-0.7244,-0.3856,0
246,186,restaurant,219.48,1700003420,-6137,0,0.5275,1.1315,0.2218,-1.8986,1.1861,0
247,69,fuel,303.86,1702275877,-4488,0,1.2958,-0.5492,0.8508,0.4921,-0.8914,0
248,92,restaurant,273.51,1700541028,-4675,0,0.8883,-0.0431,-1.3581,0.8984,2.1148,0
249,2,grocery,42.93,1701678653,-365243,0,-2.3033,0.3058,0.2664,-1.1542,1.0263,0
250,147,travel,50.61,1701013368,-5737,0,-1.0918,0.0844,-0.7485,-1.0258,0.3712,0
251,186,fuel,27.51,1700982063,-365243,0,-0.7117,1.2805,0.0219,0.8602,0.7983,0
252,163,travel,181.3,1700444648,-2468,0,1.1889,-0.2907,-0.1218,-0.8878,0.1396,0
253,146,pharmacy,12.99,1700534940,-6105,0,-0.7993,1.1358,-0.9165,-0.4356,0.545,0
254,89,grocery,43.86,1702555341,-5820,0,0.5046,-1.145,-0.6004,-0.308,-0.1682,0
255,194,online_retail,0.98,1702406967,-164,0,0.1971,0.7548,-0.1406,0.0935,-0.7852,0
256,146,online_retail,90.3,1702186494,-6923,0,1.5014,0.4118,-0.285,1.2292,0.3705,0
257,147,travel,107.41,1701265777,-3635,0,0.2199,0.0048,1.016,1.6131,0.9991,0
258,95,electronics,28.63,1701308396,-4734,0,0.0325,1.3394,-0.2607,-0.882,0.8099,0
259,198,pharmacy,133.46,1701235340,-3664,0,1.4405,-0.0003,1.6484,-1.4504,-0.0924,0
260,51,travel,48.05,1700058541,-3255,1,-0.8532,-0.8727,-0.0317,1.7228,1.3175,0
261,160,grocery,37.35,1702106622,-3382,0,1.3953,0.4447,-0.2874,0.3352,-1.4159,0
262,167,travel,312.73,1701032657,-2065,0,1.5451,-1.7838,-0.128,-0.0005,0.847,0
263,127,clothing,88.84,1701765280,-365243,0,0.4393,0.5056,-2.35,-0.1676,-0.6337,0
264,38,restaurant,29.08,1702016719,-4266,0,0.1492,-0.132,0.2214,-1.1926,0.1017,0
